Method,Label,Model,Category,Precision,Recall,F1,LabelThreshold,HistThreshold
model,arm,mature,juvenile,0.5,0.65,0.565217391304,0.08,0.7
model,back,mature,juvenile,0.083,0.167,0.110888,0.08,0.7
model,body,mature,juvenile,0.909,1.0,0.952331063384,0.08,0.7
graph,head,mature,juvenile,0.7,0.7,0.7,0.08,0.7
graph,claw,mature,juvenile,0.429,0.231,0.3003,0.08,0.7
graph,arm,mature,juvenile,0.44,0.55,0.488888888889,0.08,0.7
graph,back,mature,juvenile,0.077,0.167,0.105401639344,0.08,0.7
graph,body,mature,juvenile,1.0,1.0,1.0,0.08,0.7
graph,tail,mature,juvenile,0.2,0.2,0.2,0.08,0.7
model,tail,mature,mature,1.0,1.0,1.0,0.08,0.7
model,tail,juvenile,mature,0.8,0.8,0.8,0.08,0.7
model,head,juvenile,mature,0.333,0.333,0.333,0.08,0.7
model,claw,juvenile,mature,0.4,0.222,0.285530546624,0.08,0.7
model,arm,juvenile,mature,0.7,0.583,0.636165237724,0.08,0.7
model,body,juvenile,mature,1.0,1.0,1.0,0.08,0.7
graph,head,juvenile,mature,0.333,0.333,0.333,0.08,0.7
graph,back,juvenile,mature,0.167,0.2,0.182016348774,0.08,0.7
graph,tail,juvenile,mature,0.0,0.0,0,0.08,0.7
graph,body,juvenile,mature,1.0,1.0,1.0,0.08,0.7
model,head,juvenile,juvenile,0.9,0.9,0.9,0.08,0.7
model,tail,juvenile,juvenile,1.0,1.0,1.0,0.08,0.7
model,claw,juvenile,juvenile,0.8,0.444,0.571061093248,0.08,0.7
model,arm,juvenile,juvenile,0.857,0.6,0.705833905285,0.08,0.7
model,back,juvenile,juvenile,0.5,0.6,0.545454545455,0.08,0.7
model,body,juvenile,juvenile,1.0,1.0,1.0,0.08,0.7
graph,head,juvenile,juvenile,0.9,0.9,0.9,0.08,0.7
graph,tail,juvenile,juvenile,0.875,1.0,0.933333333333,0.08,0.7
graph,claw,juvenile,juvenile,1.0,0.563,0.72040946897,0.08,0.7
graph,arm,juvenile,juvenile,0.933,0.7,0.799877526026,0.08,0.7
graph,back,juvenile,juvenile,0.5,0.833,0.624906226557,0.08,0.7
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.08,0.7
model,back,juvenile,mature,0.25,0.333,0.285591766724,0.08,0.7
graph,claw,juvenile,mature,0.667,0.4,0.500093720712,0.08,0.7
graph,arm,juvenile,mature,0.75,0.6,0.666666666667,0.08,0.7
model,tail,mature,mature,0.8,0.8,0.8,0.23,0.9
model,body,mature,mature,1.0,1.0,1.0,0.23,0.9
model,head,mature,mature,0.333,0.333,0.333,0.23,0.9
model,arm,mature,mature,0.3,0.25,0.272727272727,0.23,0.9
model,claw,mature,mature,0.667,0.364,0.470975751697,0.23,0.9
graph,arm,mature,mature,0.333,0.25,0.285591766724,0.23,0.9
graph,head,mature,mature,0.333,0.333,0.333,0.23,0.9
graph,body,mature,mature,1.0,1.0,1.0,0.23,0.9
graph,claw,mature,mature,0.667,0.364,0.470975751697,0.23,0.9
model,arm,mature,juvenile,0.565,0.65,0.604526748971,0.23,0.9
model,body,mature,juvenile,1.0,1.0,1.0,0.23,0.9
model,head,mature,juvenile,0.7,0.7,0.7,0.23,0.9
model,claw,mature,juvenile,0.571,0.308,0.400154721274,0.23,0.9
graph,arm,mature,juvenile,0.545,0.6,0.571179039301,0.23,0.9
graph,head,mature,juvenile,0.8,0.8,0.8,0.23,0.9
graph,body,mature,juvenile,1.0,1.0,1.0,0.23,0.9
graph,claw,mature,juvenile,0.571,0.308,0.400154721274,0.23,0.9
model,tail,mature,juvenile,1.0,1.0,1.0,0.23,0.9
model,tail,juvenile,mature,0.75,0.75,0.75,0.23,0.9
model,head,juvenile,mature,0.286,0.333,0.307715670436,0.23,0.9
model,body,juvenile,mature,1.0,1.0,1.0,0.23,0.9
model,back,juvenile,mature,0.0,0.0,0,0.23,0.9
graph,tail,juvenile,mature,0.0,0.0,0,0.23,0.9
graph,head,juvenile,mature,0.286,0.333,0.307715670436,0.23,0.9
graph,body,juvenile,mature,1.0,1.0,1.0,0.23,0.9
graph,back,juvenile,mature,0.0,0.0,0,0.23,0.9
model,tail,juvenile,juvenile,0.889,0.889,0.889,0.23,0.9
model,body,juvenile,juvenile,1.0,1.0,1.0,0.23,0.9
model,head,juvenile,juvenile,0.9,0.9,0.9,0.23,0.9
model,arm,juvenile,juvenile,0.923,0.6,0.727248850952,0.23,0.9
model,claw,juvenile,juvenile,0.7,0.389,0.500091827365,0.23,0.9
model,back,juvenile,juvenile,0.75,0.75,0.75,0.23,0.9
graph,tail,juvenile,juvenile,1.0,1.0,1.0,0.23,0.9
graph,head,juvenile,juvenile,0.9,0.9,0.9,0.23,0.9
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.23,0.9
graph,arm,juvenile,juvenile,1.0,0.65,0.787878787879,0.23,0.9
graph,claw,juvenile,juvenile,0.8,0.444,0.571061093248,0.23,0.9
graph,back,juvenile,juvenile,0.714,1.0,0.833138856476,0.23,0.9
model,arm,juvenile,mature,0.714,0.5,0.588138385502,0.23,0.9
model,claw,juvenile,mature,0.333,0.2,0.24990619137,0.23,0.9
graph,arm,juvenile,mature,0.571,0.4,0.47044284243,0.23,0.9
graph,claw,juvenile,mature,0.333,0.2,0.24990619137,0.23,0.9
model,body,mature,mature,1.0,1.0,1.0,0.27,0.7
model,claw,mature,mature,0.667,0.364,0.470975751697,0.27,0.7
model,head,mature,mature,0.333,0.333,0.333,0.27,0.7
model,arm,mature,mature,0.4,0.333,0.36343792633,0.27,0.7
model,tail,mature,mature,0.75,0.75,0.75,0.27,0.7
graph,head,mature,mature,0.333,0.333,0.333,0.27,0.7
graph,claw,mature,mature,0.667,0.364,0.470975751697,0.27,0.7
graph,body,mature,mature,1.0,1.0,1.0,0.27,0.7
graph,arm,mature,mature,0.444,0.333,0.380571428571,0.27,0.7
model,claw,mature,juvenile,0.625,0.333,0.434498956159,0.27,0.7
model,body,mature,juvenile,1.0,1.0,1.0,0.27,0.7
model,head,mature,juvenile,0.7,0.7,0.7,0.27,0.7
model,arm,mature,juvenile,0.571,0.6,0.585140905209,0.27,0.7
graph,head,mature,juvenile,0.8,0.8,0.8,0.27,0.7
graph,claw,mature,juvenile,0.625,0.333,0.434498956159,0.27,0.7
graph,body,mature,juvenile,1.0,1.0,1.0,0.27,0.7
graph,arm,mature,juvenile,0.524,0.55,0.536685288641,0.27,0.7
model,tail,mature,juvenile,1.0,1.0,1.0,0.27,0.7
model,body,juvenile,mature,1.0,1.0,1.0,0.27,0.7
model,head,juvenile,mature,0.286,0.333,0.307715670436,0.27,0.7
model,tail,juvenile,mature,0.75,0.75,0.75,0.27,0.7
model,back,juvenile,mature,0.0,0.0,0,0.27,0.7
graph,head,juvenile,mature,0.286,0.333,0.307715670436,0.27,0.7
graph,tail,juvenile,mature,0.0,0.0,0,0.27,0.7
graph,body,juvenile,mature,1.0,1.0,1.0,0.27,0.7
graph,back,juvenile,mature,0.0,0.0,0,0.27,0.7
model,body,juvenile,juvenile,1.0,1.0,1.0,0.27,0.7
model,head,juvenile,juvenile,1.0,1.0,1.0,0.27,0.7
model,claw,juvenile,juvenile,0.8,0.444,0.571061093248,0.27,0.7
model,back,juvenile,juvenile,1.0,1.0,1.0,0.27,0.7
model,arm,juvenile,juvenile,0.923,0.6,0.727248850952,0.27,0.7
model,tail,juvenile,juvenile,0.889,0.889,0.889,0.27,0.7
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.27,0.7
graph,head,juvenile,juvenile,1.0,1.0,1.0,0.27,0.7
graph,claw,juvenile,juvenile,0.9,0.5,0.642857142857,0.27,0.7
graph,back,juvenile,juvenile,1.0,1.0,1.0,0.27,0.7
graph,arm,juvenile,juvenile,1.0,0.6,0.75,0.27,0.7
graph,tail,juvenile,juvenile,1.0,1.0,1.0,0.27,0.7
model,claw,juvenile,mature,0.333,0.2,0.24990619137,0.27,0.7
model,arm,juvenile,mature,0.75,0.6,0.666666666667,0.27,0.7
graph,claw,juvenile,mature,0.333,0.2,0.24990619137,0.27,0.7
graph,arm,juvenile,mature,0.625,0.5,0.555555555556,0.27,0.7
model,arm,mature,mature,0.294,0.313,0.303202635914,0.08,0.9
model,body,mature,mature,1.0,1.0,1.0,0.08,0.9
model,claw,mature,mature,0.625,0.357,0.454429735234,0.08,0.9
model,head,mature,mature,0.25,0.286,0.266791044776,0.08,0.9
model,back,mature,mature,0.25,0.333,0.285591766724,0.08,0.9
graph,arm,mature,mature,0.294,0.313,0.303202635914,0.08,0.9
graph,body,mature,mature,1.0,1.0,1.0,0.08,0.9
graph,claw,mature,mature,0.625,0.357,0.454429735234,0.08,0.9
graph,head,mature,mature,0.25,0.286,0.266791044776,0.08,0.9
graph,back,mature,mature,0.4,0.667,0.500093720712,0.08,0.9
model,tail,mature,juvenile,0.286,0.286,0.286,0.08,0.9
model,arm,mature,juvenile,0.519,0.7,0.596062346185,0.08,0.9
model,body,mature,juvenile,0.909,1.0,0.952331063384,0.08,0.9
model,claw,mature,juvenile,0.571,0.308,0.400154721274,0.08,0.9
model,head,mature,juvenile,0.636,0.7,0.666467065868,0.08,0.9
model,back,mature,juvenile,0.083,0.167,0.110888,0.08,0.9
graph,arm,mature,juvenile,0.458,0.55,0.499801587302,0.08,0.9
graph,body,mature,juvenile,1.0,1.0,1.0,0.08,0.9
graph,claw,mature,juvenile,0.429,0.231,0.3003,0.08,0.9
graph,head,mature,juvenile,0.7,0.7,0.7,0.08,0.9
graph,back,mature,juvenile,0.077,0.167,0.105401639344,0.08,0.9
graph,tail,mature,juvenile,0.2,0.2,0.2,0.08,0.9
model,tail,mature,mature,1.0,1.0,1.0,0.08,0.9
graph,tail,mature,mature,1.0,1.0,1.0,0.08,0.9
model,tail,juvenile,mature,0.8,0.8,0.8,0.08,0.9
model,arm,juvenile,mature,0.667,0.5,0.571550985433,0.08,0.9
model,body,juvenile,mature,1.0,1.0,1.0,0.08,0.9
model,claw,juvenile,mature,0.4,0.222,0.285530546624,0.08,0.9
model,head,juvenile,mature,0.333,0.333,0.333,0.08,0.9
graph,tail,juvenile,mature,0.0,0.0,0,0.08,0.9
graph,back,juvenile,mature,0.167,0.2,0.182016348774,0.08,0.9
graph,head,juvenile,mature,0.286,0.333,0.307715670436,0.08,0.9
graph,body,juvenile,mature,1.0,1.0,1.0,0.08,0.9
model,tail,juvenile,juvenile,1.0,1.0,1.0,0.08,0.9
model,arm,juvenile,juvenile,0.857,0.6,0.705833905285,0.08,0.9
model,body,juvenile,juvenile,1.0,1.0,1.0,0.08,0.9
model,claw,juvenile,juvenile,0.7,0.389,0.500091827365,0.08,0.9
model,head,juvenile,juvenile,0.9,0.9,0.9,0.08,0.9
model,back,juvenile,juvenile,0.5,0.6,0.545454545455,0.08,0.9
graph,tail,juvenile,juvenile,0.875,1.0,0.933333333333,0.08,0.9
graph,arm,juvenile,juvenile,0.933,0.7,0.799877526026,0.08,0.9
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.08,0.9
graph,claw,juvenile,juvenile,0.889,0.5,0.640028797696,0.08,0.9
graph,head,juvenile,juvenile,0.9,0.9,0.9,0.08,0.9
graph,back,juvenile,juvenile,0.5,0.833,0.624906226557,0.08,0.9
model,back,juvenile,mature,0.25,0.333,0.285591766724,0.08,0.9
graph,arm,juvenile,mature,0.714,0.5,0.588138385502,0.08,0.9
graph,claw,juvenile,mature,0.667,0.4,0.500093720712,0.08,0.9
model,arm,mature,juvenile,0.636,0.438,0.518748603352,0.55,0.3
model,body,mature,juvenile,0.875,0.875,0.875,0.55,0.3
model,claw,mature,juvenile,0.429,0.231,0.3003,0.55,0.3
graph,arm,mature,juvenile,0.636,0.438,0.518748603352,0.55,0.3
graph,body,mature,juvenile,0.875,0.875,0.875,0.55,0.3
graph,claw,mature,juvenile,0.429,0.231,0.3003,0.55,0.3
model,arm,mature,mature,1.0,0.5,0.666666666667,0.55,0.3
model,body,mature,mature,1.0,1.0,1.0,0.55,0.3
model,claw,mature,mature,1.0,0.556,0.714652956298,0.55,0.3
graph,arm,mature,mature,1.0,0.5,0.666666666667,0.55,0.3
graph,body,mature,mature,1.0,1.0,1.0,0.55,0.3
graph,claw,mature,mature,1.0,0.556,0.714652956298,0.55,0.3
model,claw,juvenile,juvenile,0.75,0.429,0.545801526718,0.55,0.3
model,body,juvenile,juvenile,1.0,1.0,1.0,0.55,0.3
model,arm,juvenile,juvenile,0.9,0.563,0.692686261107,0.55,0.3
model,tail,juvenile,juvenile,1.0,1.0,1.0,0.55,0.3
model,head,juvenile,juvenile,1.0,1.0,1.0,0.55,0.3
graph,claw,juvenile,juvenile,0.75,0.429,0.545801526718,0.55,0.3
graph,arm,juvenile,juvenile,0.9,0.563,0.692686261107,0.55,0.3
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.55,0.3
graph,head,juvenile,juvenile,1.0,1.0,1.0,0.55,0.3
model,head,juvenile,mature,0.4,0.4,0.4,0.55,0.3
model,arm,juvenile,mature,0.857,0.6,0.705833905285,0.55,0.3
model,body,juvenile,mature,1.0,1.0,1.0,0.55,0.3
model,claw,juvenile,mature,0.5,0.25,0.333333333333,0.55,0.3
graph,claw,juvenile,mature,0.5,0.25,0.333333333333,0.55,0.3
graph,arm,juvenile,mature,0.857,0.6,0.705833905285,0.55,0.3
graph,body,juvenile,mature,1.0,1.0,1.0,0.55,0.3
graph,head,juvenile,mature,0.4,0.4,0.4,0.55,0.3
model,tail,juvenile,mature,1.0,1.0,1.0,0.55,0.3
model,tail,mature,mature,0.8,0.8,0.8,0.23,0.7
model,claw,mature,mature,0.667,0.364,0.470975751697,0.23,0.7
model,body,mature,mature,1.0,1.0,1.0,0.23,0.7
model,head,mature,mature,0.333,0.333,0.333,0.23,0.7
model,arm,mature,mature,0.364,0.333,0.34781061693,0.23,0.7
graph,claw,mature,mature,0.667,0.364,0.470975751697,0.23,0.7
graph,head,mature,mature,0.333,0.333,0.333,0.23,0.7
graph,body,mature,mature,1.0,1.0,1.0,0.23,0.7
graph,arm,mature,mature,0.444,0.333,0.380571428571,0.23,0.7
model,head,mature,juvenile,0.7,0.7,0.7,0.23,0.7
model,claw,mature,juvenile,0.625,0.333,0.434498956159,0.23,0.7
model,arm,mature,juvenile,0.545,0.6,0.571179039301,0.23,0.7
model,body,mature,juvenile,1.0,1.0,1.0,0.23,0.7
graph,claw,mature,juvenile,0.625,0.333,0.434498956159,0.23,0.7
graph,head,mature,juvenile,0.8,0.8,0.8,0.23,0.7
graph,body,mature,juvenile,1.0,1.0,1.0,0.23,0.7
graph,arm,mature,juvenile,0.524,0.55,0.536685288641,0.23,0.7
model,tail,mature,juvenile,1.0,1.0,1.0,0.23,0.7
model,back,juvenile,mature,0.0,0.0,0,0.23,0.7
model,tail,juvenile,mature,0.75,0.75,0.75,0.23,0.7
model,head,juvenile,mature,0.286,0.333,0.307715670436,0.23,0.7
model,body,juvenile,mature,1.0,1.0,1.0,0.23,0.7
graph,back,juvenile,mature,0.0,0.0,0,0.23,0.7
graph,tail,juvenile,mature,0.0,0.0,0,0.23,0.7
graph,head,juvenile,mature,0.286,0.333,0.307715670436,0.23,0.7
graph,body,juvenile,mature,1.0,1.0,1.0,0.23,0.7
model,tail,juvenile,juvenile,0.889,0.889,0.889,0.23,0.7
model,claw,juvenile,juvenile,0.8,0.444,0.571061093248,0.23,0.7
model,body,juvenile,juvenile,1.0,1.0,1.0,0.23,0.7
model,head,juvenile,juvenile,0.9,0.9,0.9,0.23,0.7
model,arm,juvenile,juvenile,0.923,0.6,0.727248850952,0.23,0.7
model,back,juvenile,juvenile,0.75,0.75,0.75,0.23,0.7
graph,tail,juvenile,juvenile,1.0,1.0,1.0,0.23,0.7
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.23,0.7
graph,claw,juvenile,juvenile,0.9,0.5,0.642857142857,0.23,0.7
graph,head,juvenile,juvenile,0.9,0.9,0.9,0.23,0.7
graph,arm,juvenile,juvenile,1.0,0.65,0.787878787879,0.23,0.7
graph,back,juvenile,juvenile,0.714,1.0,0.833138856476,0.23,0.7
model,claw,juvenile,mature,0.333,0.2,0.24990619137,0.23,0.7
model,arm,juvenile,mature,0.75,0.6,0.666666666667,0.23,0.7
graph,claw,juvenile,mature,0.333,0.2,0.24990619137,0.23,0.7
graph,arm,juvenile,mature,0.625,0.5,0.555555555556,0.23,0.7
model,arm,mature,mature,0.273,0.3,0.285863874346,0.04,0.9
model,head,mature,mature,0.2,0.222,0.210426540284,0.04,0.9
model,claw,mature,mature,0.7,0.389,0.500091827365,0.04,0.9
model,tail,mature,mature,0.625,0.625,0.625,0.04,0.9
model,back,mature,mature,0.182,0.286,0.222444444444,0.04,0.9
model,body,mature,mature,0.909,1.0,0.952331063384,0.04,0.9
graph,arm,mature,mature,0.286,0.3,0.292832764505,0.04,0.9
graph,head,mature,mature,0.2,0.222,0.210426540284,0.04,0.9
graph,tail,mature,mature,0.5,0.5,0.5,0.04,0.9
graph,claw,mature,mature,0.7,0.389,0.500091827365,0.04,0.9
graph,back,mature,mature,0.267,0.571,0.363859188544,0.04,0.9
graph,body,mature,mature,0.909,1.0,0.952331063384,0.04,0.9
model,arm,mature,juvenile,0.433,0.65,0.519759926131,0.04,0.9
model,head,mature,juvenile,0.7,0.7,0.7,0.04,0.9
model,claw,mature,juvenile,0.444,0.25,0.319884726225,0.04,0.9
model,tail,mature,juvenile,0.286,0.286,0.286,0.04,0.9
model,back,mature,juvenile,0.091,0.167,0.11780620155,0.04,0.9
model,body,mature,juvenile,0.769,1.0,0.869417750141,0.04,0.9
graph,arm,mature,juvenile,0.385,0.5,0.435028248588,0.04,0.9
graph,head,mature,juvenile,0.5,0.5,0.5,0.04,0.9
graph,tail,mature,juvenile,0.222,0.222,0.222,0.04,0.9
graph,claw,mature,juvenile,0.375,0.2,0.260869565217,0.04,0.9
graph,back,mature,juvenile,0.063,0.167,0.0914869565217,0.04,0.9
graph,body,mature,juvenile,0.714,1.0,0.833138856476,0.04,0.9
model,arm,juvenile,mature,0.7,0.583,0.636165237724,0.04,0.9
model,head,juvenile,mature,0.333,0.333,0.333,0.04,0.9
